147ms	615 srcs * 1 sinks + 0 tests == 615 tasks148ms	
148ms elapsed, 0 active, 615 queued, 29MB RAM, 30MB peak
148ms	start gpu gm  yuv_nv12_to_rgb_effect
166ms	done  gpu gm  yuv_nv12_to_rgb_effect
166ms	start gpu gm  yuv_to_rgb_effect
195ms	done  gpu gm  yuv_to_rgb_effect
195ms	start gpu gm  xfermodes3
354ms	done  gpu gm  xfermodes3
354ms	start gpu gm  xfermodes2
458ms	done  gpu gm  xfermodes2
458ms	start gpu gm  xfermodes
598ms	done  gpu gm  xfermodes
598ms	start gpu gm  xfermodeimagefilter
688ms	done  gpu gm  xfermodeimagefilter
688ms	start gpu gm  windowrectangles_mask
735ms	done  gpu gm  windowrectangles_mask
735ms	start gpu gm  windowrectangles
783ms	done  gpu gm  windowrectangles
783ms	start gpu gm  verylarge_picture_image
1.35s	done  gpu gm  verylarge_picture_image
1.35s	start gpu gm  verylargebitmap
1.72s	done  gpu gm  verylargebitmap
1.72s	start gpu gm  verttext2
1.77s	done  gpu gm  verttext2
1.77s	start gpu gm  verttext
1.81s	done  gpu gm  verttext
1.81s	start gpu gm  vertices_batching
1.83s	done  gpu gm  vertices_batching
1.83s	start gpu gm  vertices_scaled_shader
2.13s	done  gpu gm  vertices_scaled_shader
2.13s	start gpu gm  vertices
2.48s	done  gpu gm  vertices
2.48s	start gpu gm  vertices_object
2.79s	done  gpu gm  vertices_object
2.79s	start gpu gm  varied_text_clipped_lcd
2.85s	done  gpu gm  varied_text_clipped_lcd
2.85s	start gpu gm  varied_text_ignorable_clip_lcd
2.91s	done  gpu gm  varied_text_ignorable_clip_lcd
2.91s	start gpu gm  varied_text_clipped_no_lcd
2.96s	done  gpu gm  varied_text_clipped_no_lcd
2.96s	start gpu gm  varied_text_ignorable_clip_no_lcd
3.01s	done  gpu gm  varied_text_ignorable_clip_no_lcd
3.01s	start gpu gm  typefacerendering_pfb
3.07s	done  gpu gm  typefacerendering_pfb
