379ms	622 srcs * 5 sinks + 0 tests == 3110 tasks380ms	
380ms elapsed, 0 active, 3110 queued, 40MB RAM, 41MB peak
383ms	start gpu gm  yuv_nv12_to_rgb_effect
400ms	done  gpu gm  yuv_nv12_to_rgb_effect
400ms	start gpu gm  yuv_to_rgb_effect
452ms	done  gpu gm  yuv_to_rgb_effect
452ms	start gpu gm  xfermodes3
621ms	done  gpu gm  xfermodes3
621ms	start gpu gm  xfermodes2
759ms	done  gpu gm  xfermodes2
759ms	start gpu gm  xfermodes
931ms	done  gpu gm  xfermodes
931ms	start gpu gm  xfermodeimagefilter
1.08s	done  gpu gm  xfermodeimagefilter
1.08s	start gpu gm  windowrectangles_mask
1.14s	done  gpu gm  windowrectangles_mask
1.14s	start gpu gm  windowrectangles
1.2s	done  gpu gm  windowrectangles
1.2s	start gpu gm  verylarge_picture_image
1.85s	done  gpu gm  verylarge_picture_image
1.85s	start gpu gm  verylargebitmap
2.27s	done  gpu gm  verylargebitmap
2.27s	start gpu gm  verttext2
2.38s	done  gpu gm  verttext2
2.38s	start gpu gm  verttext
2.45s	done  gpu gm  verttext
2.45s	start gpu gm  vertices_batching
2.47s	done  gpu gm  vertices_batching
2.47s	start gpu gm  vertices_scaled_shader
2.91s	done  gpu gm  vertices_scaled_shader
2.91s	start gpu gm  vertices
3.36s	done  gpu gm  vertices
3.36s	start gpu gm  vertices_object
3.84s	done  gpu gm  vertices_object
3.84s	start gpu gm  varied_text_clipped_lcd
3.92s	done  gpu gm  varied_text_clipped_lcd
3.92s	start gpu gm  varied_text_ignorable_clip_lcd
4.01s	done  gpu gm  varied_text_ignorable_clip_lcd
4.01s	start gpu gm  varied_text_clipped_no_lcd
4.08s	done  gpu gm  varied_text_clipped_no_lcd
4.08s	start gpu gm  varied_text_ignorable_clip_no_lcd
4.15s	done  gpu gm  varied_text_ignorable_clip_no_lcd
4.15s	start gpu gm  typefacerendering_pfb
4.23s	done  gpu gm  typefacerendering_pfb
4.23s	start gpu gm  typefacerendering_pfa
4.33s	done  gpu gm  typefacerendering_pfa
4.33s	start gpu gm  typefacerendering
4.42s	done  gpu gm  typefacerendering
4.42s	start gpu gm  typefacestyles_kerning
4.57s	done  gpu gm  typefacestyles_kerning
4.57s	start gpu gm  typefacestyles
4.68s	done  gpu gm  typefacestyles
4.68s	start gpu gm  transparency_check
4.9s	done  gpu gm  transparency_check
4.9s	start gpu gm  tinybitmap
4.93s	done  gpu gm  tinybitmap
4.93s	start gpu gm  scaled_tilemode_gradient
5.06s	done  gpu gm  scaled_tilemode_gradient
5.06s	start gpu gm  scaled_tilemode_bitmap
5.14s	done  gpu gm  scaled_tilemode_bitmap
5.14s	start gpu gm  scaled_tilemodes_npot
5.32s	done  gpu gm  scaled_tilemodes_npot
5.32s	start gpu gm  scaled_tilemodes
5.56s	done  gpu gm  scaled_tilemodes
5.56s	start gpu gm  tilemode_gradient
5.66s	done  gpu gm  tilemode_gradient
5.66s	start gpu gm  tilemode_bitmap
5.75s	done  gpu gm  tilemode_bitmap
5.75s	start gpu gm  tilemodes_npot
5.86s	done  gpu gm  tilemodes_npot
5.86s	start gpu gm  tilemodes
6s	done  gpu gm  tilemodes
6s	start gpu gm  tileimagefilter
6.06s	done  gpu gm  tileimagefilter
6.06s	start gpu gm  tiledscaledbitmap
6.16s	done  gpu gm  tiledscaledbitmap
6.16s	start gpu gm  thinstrokedrects
6.2s	done  gpu gm  thinstrokedrects
6.2s	start gpu gm  thinrects
6.24s	done  gpu gm  thinrects
6.24s	start gpu gm  thinconcavepaths
6.31s	done  gpu gm  thinconcavepaths
6.31s	start gpu gm  texture_domain_effect
6.46s	done  gpu gm  texture_domain_effect
6.46s	start gpu gm  fancyunderlinebars
6.54s	done  gpu gm  fancyunderlinebars
6.54s	start gpu gm  fancyblobunderline
6.78s	done  gpu gm  fancyblobunderline
6.78s	start gpu gm  fancyposunderline
6.97s	done  gpu gm  fancyposunderline
6.97s	start gpu gm  fancyunderline
7.16s	done  gpu gm  fancyunderline
7.16s	start gpu gm  texteffects
7.28s	done  gpu gm  texteffects
7.28s	start gpu gm  textblobuseaftergpufree
7.34s	done  gpu gm  textblobuseaftergpufree
7.34s	start gpu gm  textblobtransforms
7.51s	done  gpu gm  textblobtransforms
7.51s	start gpu gm  textblobshader
7.58s	done  gpu gm  textblobshader
7.58s	start gpu gm  textblobrandomfont
7.92s	done  gpu gm  textblobrandomfont
7.92s	start gpu gm  textblobmixedsizes_df
8.42s	done  gpu gm  textblobmixedsizes_df
8.42s	start gpu gm  textblobmixedsizes
8.97s	done  gpu gm  textblobmixedsizes
8.97s	start gpu gm  textbloblooper
9.14s	done  gpu gm  textbloblooper
9.14s	start gpu gm  textblobgeometrychange
9.17s	done  gpu gm  textblobgeometrychange
9.17s	start gpu gm  textblobcolortrans
9.3s	done  gpu gm  textblobcolortrans
9.3s	start gpu gm  textblobblockreordering
9.33s	done  gpu gm  textblobblockreordering
9.33s	start gpu gm  textblob
9.38s	done  gpu gm  textblob
9.38s	start gpu gm  texdata
9.43s	done  gpu gm  texdata
9.43s	start gpu gm  testgradient
9.51s	done  gpu gm  testgradient
9.51s	start gpu gm  tall_stretched_bitmaps
9.68s	done  gpu gm  tall_stretched_bitmaps
9.68s	start gpu gm  colorcomposefilter_alpha
9.81s	done  gpu gm  colorcomposefilter_alpha
9.81s	start gpu gm  colorcomposefilter_wacky
9.97s	done  gpu gm  colorcomposefilter_wacky
9.97s	start gpu gm  tablecolorfilter
10.2s	done  gpu gm  tablecolorfilter
10.2s	start gpu gm  copy_on_write_savelayer
10.2s	done  gpu gm  copy_on_write_savelayer
10.2s	start gpu gm  copy_on_write_retain
10.2s	done  gpu gm  copy_on_write_retain
10.2s	start gpu gm  surfacenew
10.3s	done  gpu gm  surfacenew
10.3s	start gpu gm  surfaceprops
10.3s	done  gpu gm  surfaceprops
10.3s	start gpu gm  bitmap_subset_shader
10.4s	done  gpu gm  bitmap_subset_shader
10.4s	start gpu gm  stroketext
10.5s	done  gpu gm  stroketext
10.5s	start gpu gm  teenyStrokes
10.5s	done  gpu gm  teenyStrokes
10.5s	start gpu gm  zeroPath
10.6s	done  gpu gm  zeroPath
10.6s	start gpu gm  zero_control_stroke
10.7s	done  gpu gm  zero_control_stroke
10.7s	start gpu gm  strokes_zoomed
10.7s	done  gpu gm  strokes_zoomed
10.7s	start gpu gm  strokes3
11.1s	done  gpu gm  strokes3
11.1s	start gpu gm  strokes_poly
11.2s	done  gpu gm  strokes_poly
11.2s	start gpu gm  strokes_round
11.3s	done  gpu gm  strokes_round
11.3s	start gpu gm  quadcap
11.3s	done  gpu gm  quadcap
11.3s	start gpu gm  zerolinestroke
11.3s	done  gpu gm  zerolinestroke
11.3s	start gpu gm  CubicStroke
11.4s	done  gpu gm  CubicStroke
11.4s	start gpu gm  strokerects
11.5s	done  gpu gm  strokerects
11.5s	start gpu gm  strokerect_anisotropic_5408
11.5s	done  gpu gm  strokerect_anisotropic_5408
11.5s	start gpu gm  strokerect
11.6s	done  gpu gm  strokerect
11.6s	start gpu gm  bug339297
11.7s	done  gpu gm  bug339297
11.7s	start gpu gm  stroke-fill
11.8s	done  gpu gm  stroke-fill
11.8s	start gpu gm  strokedlines
11.9s	done  gpu gm  strokedlines
11.9s	start gpu gm  stroke_rect_shader
12s	done  gpu gm  stroke_rect_shader
12s	start gpu gm  stringart
12s	done  gpu gm  stringart
12s	start gpu gm  stlouisarch
12s	done  gpu gm  stlouisarch
12s	start gpu gm  srcmode
12.1s	done  gpu gm  srcmode
12.1s	start gpu gm  spritebitmap
12.2s	done  gpu gm  spritebitmap
12.2s	start gpu gm  smallpaths
12.2s	done  gpu gm  smallpaths
12.2s	start gpu gm  small_image
12.3s	done  gpu gm  small_image
12.3s	start gpu gm  smallarc
12.4s	done  gpu gm  smallarc
12.4s	start gpu gm  linear_pipeline
12.6s	done  gpu gm  linear_pipeline
